Paid,AreaType,AvgIncome,Age,LateFees,Gender,UnemployRate,Newsletter,EmailDomain
Default,Urban,98227.14,45,170,Male,0.02,No,gmail.com
Paid,Urban,85706.91,28,0,Unknown,0.02,Yes,yahoo.com
Paid,Rural,63467.72,44,0,Male,0.06,Yes,mail.com
Paid,Urban,109707.61,25,0,Diverse,0.01,Yes,outlook.com
Paid,Urban,38939.29,31,0,Male,0.1,No,gmail.com
Paid,Suburban,41928.83,39,0,Unknown,0.07,No,icloud.com
Paid,Urban,68324.34,44,0,Female,0.2,Yes,protonmail.com
Paid,Rural,115080.76,23,0,Male,0.02,Yes,hotmail.com
Paid,Rural,65953.22,41,0,Diverse,0.02,No,icloud.com
Paid,Urban,66335.1,30,0,Male,0.17,No,hotmail.com
Paid,Urban,41161.79,24,0,Female,0.05,Yes,outlook.com
Default,Urban,88918.59,49,0,Female,0.03,No,yahoo.com
Paid,Urban,89063.53,27,0,Female,0.01,No,outlook.com
Paid,Urban,85781.5,27,0,Male,0.02,Yes,gmail.com
Paid,Suburban,57415.59,20,0,Unknown,0.01,Yes,gmail.com
Paid,Urban,55865.86,27,0,Female,0.03,No,yahoo.com
Paid,Urban,44137.55,28,0,Male,0.19,Yes,icloud.com
Paid,Urban,71677.45,24,0,Male,0.09,No,gmail.com
Default,Rural,48391.85,33,0,Female,0.05,Yes,yandex.com
Default,Urban,46451.67,29,0,Diverse,0.11,No,yahoo.com
Default,Urban,61526.19,50,0,Female,0.02,Yes,msn.com
Paid,Urban,60216.88,36,0,Male,0.05,No,gmail.com
Paid,Rural,59240.43,37,0,Male,0.06,No,icloud.com
Paid,Urban,79328.89,47,0,Female,0.06,Yes,gmail.com
Default,Suburban,71580.96,24,0,Male,0.03,No,yahoo.com
Paid,Suburban,64236.88,30,0,Male,0.04,No,icloud.com
Paid,Urban,73660.26,48,0,Female,0.06,Yes,icloud.com
Default,Suburban,50169.46,32,0,Male,0.22,No,gmail.com
Paid,Urban,72105.57,32,0,Male,0.02,No,gmail.com
Paid,Suburban,73012.05,21,0,Male,0.14,Yes,outlook.com
Default,Suburban,39939.06,21,0,Female,0.06,Yes,icloud.com
Paid,Urban,89913.88,43,0,Female,0.02,Yes,gmail.com
Default,Urban,52371.33,45,0,Female,0.03,No,msn.com
Default,Suburban,71806.2,42,292,Female,0.12,Yes,yahoo.com
Paid,Urban,93288.23,42,0,Male,0.02,No,mail.com
Paid,Urban,88513.54,39,0,Unknown,0.02,Yes,icloud.com
Default,Urban,70686.67,32,0,Female,0.28,Yes,yandex.com
Paid,Urban,62750.02,27,0,Unknown,0.08,No,yahoo.com
Default,Suburban,88950.24,48,158,Unknown,0.02,No,aol.com
Paid,Urban,83493.9,24,0,Female,0.01,No,yahoo.com
Paid,Urban,57632.7,36,0,Unknown,0.01,No,gmail.com
Default,Urban,54102.13,18,77,Male,0.21,No,gmail.com
Default,Suburban,28552.9,20,0,Male,0.12,Yes,gmail.com
Paid,Urban,73080.64,26,0,Male,0.11,Yes,yahoo.com
Paid,Suburban,68346.05,18,0,Female,0.02,No,msn.com
Paid,Urban,92723.83,42,0,Female,0.02,No,gmail.com
Default,Rural,77181.1,30,288,Unknown,0.05,No,protonmail.com
Paid,Urban,96684.58,31,0,Female,0.02,No,yahoo.com
Paid,Urban,56052.72,32,0,Female,0.05,No,yahoo.com
Paid,Urban,92763.01,32,0,Unknown,0.02,No,gmail.com
Default,Rural,59421.67,23,0,Female,0.11,No,yandex.com
Paid,Rural,85551.92,34,0,Male,0.02,Yes,gmail.com
Paid,Urban,40824.83,36,0,Diverse,0.14,No,gmail.com
Paid,Suburban,74702.71,27,0,Female,0.02,No,icloud.com
Paid,Suburban,30306.24,40,0,Female,0.19,No,icloud.com
Paid,Urban,64657.25,28,0,Female,0.02,Yes,yahoo.com
Paid,Urban,78807.08,30,0,Male,0.02,No,mail.com
Paid,Urban,59580.63,34,0,Male,0.04,Yes,outlook.com
Default,Urban,48991.25,44,266,Male,0.11,Yes,gmail.com
Paid,Rural,86922.37,20,0,Male,0.02,No,gmail.com
Paid,Rural,67930.74,23,0,Diverse,0.06,Yes,gmail.com
Paid,Suburban,60208.59,20,0,Female,0.02,Yes,yandex.com
Paid,Urban,70837.92,25,0,Male,0.04,No,outlook.com
Paid,Urban,122733.38,51,0,Male,0.02,No,icloud.com
Paid,Suburban,93070.06,39,0,Female,0.02,No,yandex.com
Paid,Rural,93251.47,27,0,Male,0.01,Yes,protonmail.com
Default,Rural,78710.93,21,0,Male,0.11,No,yahoo.com
Paid,Suburban,73329.71,36,0,Male,0.02,No,gmail.com
Default,Suburban,22078.35,30,0,Female,0.48,No,aol.com
Default,Urban,56420.39,19,0,Unknown,0.09,No,gmail.com
Paid,Urban,60388.51,50,0,Unknown,0.17,No,gmail.com
Paid,Rural,32502.16,21,0,Female,0.02,No,protonmail.com
Default,Suburban,46851.68,44,146,Female,0.12,No,icloud.com
Paid,Urban,30383.27,49,0,Female,0.02,No,yandex.com
Default,Urban,69233.52,19,0,Male,0.05,No,yandex.com
Paid,Suburban,86375.32,28,0,Male,0.01,No,yahoo.com
Paid,Urban,92135.49,26,0,Male,0.02,No,icloud.com
Paid,Urban,78295.69,32,0,Male,0.1,Yes,icloud.com
Default,Urban,50732.07,32,184,Male,0.08,No,gmail.com
Default,Suburban,31358.7,27,0,Female,0.21,Yes,icloud.com
Paid,Suburban,34862.63,35,0,Male,0.07,No,gmail.com
Default,Urban,44620.35,51,224,Male,0.17,Yes,mail.com
Default,Suburban,52222.81,42,0,Female,0.25,No,yandex.com
Paid,Urban,66805.03,37,0,Female,0.08,No,outlook.com
Paid,Urban,49716.72,29,0,Male,0.1,No,icloud.com
Paid,Suburban,76779.52,37,0,Female,0.17,Yes,icloud.com
Default,Suburban,65354.53,56,0,Female,0.21,No,gmail.com
Paid,Suburban,70210.91,24,0,Male,0.08,Yes,gmail.com
Paid,Suburban,92805.01,40,0,Unknown,0.03,No,protonmail.com
Paid,Urban,46395.37,28,0,Male,0.16,Yes,gmail.com
Paid,Urban,78374.09,33,0,Female,0.13,No,hotmail.com
Paid,Urban,69720.54,42,0,Male,0.16,Yes,yahoo.com
Paid,Urban,63330.27,56,0,Male,0.14,No,aol.com
Default,Urban,87705.13,42,0,Male,0.03,Yes,gmail.com
Paid,Rural,87580.28,24,0,Female,0.01,No,msn.com
Paid,Urban,51070.18,31,0,Female,0.14,No,outlook.com
Paid,Rural,66356.79,32,0,Unknown,0.02,No,Other
Paid,Suburban,75624.23,43,0,Female,0.2,Yes,yahoo.com
Paid,Suburban,64539.87,24,0,Unknown,0.11,Yes,outlook.com
Paid,Urban,81700.43,26,0,Male,0.03,Yes,gmail.com
Default,Urban,75623.84,72,85,Male,0.09,No,gmail.com
Paid,Urban,106651.22,46,0,Male,0.01,Yes,protonmail.com
Paid,Urban,39394.42,47,0,Diverse,0.1,Yes,gmail.com
Default,Suburban,67551.28,28,0,Male,0.02,No,protonmail.com
Paid,Urban,51829.95,19,0,Unknown,0.02,Yes,yahoo.com
Paid,Urban,82082.15,31,0,Male,0.01,No,icloud.com
Default,Suburban,37656.56,26,0,Unknown,0.02,No,msn.com
Paid,Urban,76926.25,54,0,Female,0.1,No,yahoo.com
Paid,Rural,57399.03,51,0,Female,0.01,No,yahoo.com
Default,Rural,55316.76,22,0,Unknown,0.17,Yes,hotmail.com
Paid,Rural,41070.04,57,0,Unknown,0.02,Yes,yahoo.com
Default,Urban,60698.48,30,0,Unknown,0.23,No,gmail.com
Paid,Urban,91690.01,69,0,Female,0.03,Yes,icloud.com
Paid,Rural,69496.23,32,0,Unknown,0.05,No,gmail.com
Paid,Urban,82553.61,39,0,Female,0.02,Yes,yahoo.com
Paid,Rural,103292.84,51,0,Diverse,0.02,No,yahoo.com
Paid,Rural,75275.11,49,0,Female,0.03,Yes,outlook.com
Default,Rural,58824.01,38,0,Female,0.14,Yes,outlook.com
Default,Urban,79345.04,28,0,Female,0.02,No,yahoo.com
Paid,Urban,59114.08,38,0,Female,0.02,No,yahoo.com
Default,Rural,59911.55,18,0,Female,0.22,No,yahoo.com
Paid,Urban,39602.14,32,0,Female,0.06,Yes,outlook.com
Default,Urban,88525.15,30,0,Male,0.02,Yes,outlook.com
Paid,Urban,62279.95,22,0,Female,0.02,Yes,icloud.com
Default,Rural,73641.96,31,137,Female,0.02,Yes,yahoo.com
Paid,Suburban,49280.76,49,0,Unknown,0.17,Yes,outlook.com
Paid,Urban,78718.95,44,0,Female,0.02,Yes,protonmail.com
Default,Urban,54761.18,29,0,Female,0.15,No,gmail.com
Paid,Suburban,67165.83,56,0,Male,0.02,Yes,gmail.com
Default,Rural,87556.52,21,0,Unknown,0.03,No,hotmail.com
Paid,Urban,85815.19,36,0,Male,0.01,No,gmail.com
Paid,Urban,69559.4,24,0,Unknown,0.02,Yes,gmail.com
Default,Rural,34637.38,29,0,Female,0.08,No,outlook.com
Paid,Suburban,129856.21,42,0,Male,0.03,No,gmail.com
Paid,Suburban,104917.18,20,0,Unknown,0.01,No,aol.com
Paid,Suburban,84453.5,37,0,Male,0.02,Yes,gmail.com
Paid,Urban,54935.92,55,0,Male,0.02,No,icloud.com
Paid,Urban,67728.16,30,0,Male,0.09,Yes,gmail.com
Paid,Suburban,59131.59,37,0,Unknown,0.09,No,mail.com
Paid,Suburban,95277.12,38,0,Female,0.01,Yes,protonmail.com
Default,Rural,75250.06,32,257,Unknown,0.02,Yes,gmail.com
Paid,Rural,54316.72,50,0,Male,0.08,No,yahoo.com
Default,Urban,60584.9,26,92,Male,0.02,No,msn.com
Paid,Urban,92423.76,24,0,Female,0.02,No,gmail.com
Paid,Suburban,102001.96,62,0,Female,0.02,Yes,yahoo.com
Default,Suburban,100566.63,38,0,Female,0.02,No,Other
Paid,Suburban,85140.64,44,0,Female,0.02,No,outlook.com
Paid,Suburban,64947.5,50,0,Male,0.04,Yes,aol.com
Default,Rural,15000.0,20,0,Male,0.35,No,hotmail.com
Paid,Urban,75943.2,49,0,Female,0.02,Yes,aol.com
Paid,Urban,69963.42,22,0,Male,0.02,Yes,yandex.com
Default,Urban,72799.64,22,0,Unknown,0.12,Yes,hotmail.com
Paid,Urban,71077.95,26,0,Unknown,0.02,No,yandex.com
Paid,Urban,43474.76,21,0,Diverse,0.01,Yes,gmail.com
Paid,Urban,81148.17,42,0,Male,0.02,No,yahoo.com
Paid,Urban,82644.33,34,0,Male,0.03,Yes,outlook.com
Paid,Urban,83646.78,23,0,Female,0.02,Yes,aol.com
Default,Urban,88931.54,40,108,Female,0.02,No,gmail.com
Paid,Urban,82081.03,26,0,Unknown,0.02,No,gmail.com
Paid,Urban,61799.41,25,0,Unknown,0.02,No,gmail.com
Paid,Suburban,68583.26,31,0,Male,0.13,No,gmail.com
Default,Urban,71822.5,37,79,Unknown,0.02,No,gmail.com
Default,Urban,72153.99,36,0,Male,0.39,Yes,hotmail.com
Paid,Urban,89964.35,25,0,Diverse,0.02,Yes,yahoo.com
Default,Suburban,82873.38,43,158,Female,0.04,Yes,outlook.com
Paid,Urban,111546.87,27,0,Female,0.03,No,gmail.com
Paid,Suburban,114129.38,20,0,Female,0.01,No,msn.com
Paid,Urban,71592.99,30,0,Unknown,0.11,No,protonmail.com
Default,Urban,15000.0,45,0,Female,0.18,Yes,mail.com
Paid,Urban,94736.65,30,0,Diverse,0.04,No,protonmail.com
Default,Urban,59192.47,33,0,Male,0.02,No,msn.com
Paid,Suburban,53970.32,46,0,Unknown,0.02,Yes,icloud.com
Default,Suburban,62031.09,23,0,Unknown,0.17,No,yahoo.com
Paid,Rural,61067.14,38,0,Female,0.02,No,gmail.com
Default,Urban,82245.4,31,293,Unknown,0.01,Yes,gmail.com
Paid,Urban,38811.28,35,0,Male,0.14,No,msn.com
Paid,Suburban,48445.59,26,0,Diverse,0.02,No,yahoo.com
Paid,Urban,76863.17,52,0,Male,0.02,Yes,mail.com
Paid,Urban,82458.88,29,0,Female,0.01,No,outlook.com
Paid,Urban,82830.83,47,0,Female,0.03,No,outlook.com
Paid,Urban,54259.27,42,0,Female,0.1,Yes,gmail.com
Default,Rural,50434.69,37,0,Female,0.14,No,yahoo.com
Paid,Suburban,59867.3,30,0,Male,0.02,No,yahoo.com
Paid,Suburban,74797.46,49,0,Unknown,0.02,No,icloud.com
Paid,Urban,99709.55,26,0,Male,0.02,Yes,aol.com
Paid,Urban,29051.26,22,0,Female,0.26,Yes,outlook.com
Paid,Urban,65585.42,27,0,Unknown,0.15,No,yandex.com
Paid,Urban,43346.43,36,0,Unknown,0.09,No,yahoo.com
Default,Urban,36955.15,40,0,Female,0.23,Yes,yahoo.com
Paid,Suburban,89339.13,43,0,Female,0.02,Yes,yahoo.com
Default,Suburban,80892.49,42,0,Female,0.01,No,protonmail.com
Paid,Urban,78988.67,34,0,Female,0.13,No,icloud.com
Default,Rural,88420.52,36,0,Female,0.01,No,outlook.com
Paid,Suburban,60405.62,31,0,Female,0.15,Yes,aol.com
Default,Urban,61347.25,19,68,Female,0.14,No,protonmail.com
Paid,Suburban,113714.61,43,0,Female,0.02,Yes,msn.com
Default,Urban,65068.58,43,124,Female,0.15,No,gmail.com
Paid,Urban,84702.64,41,0,Female,0.01,Yes,gmail.com
Default,Urban,70127.63,22,151,Male,0.02,Yes,icloud.com
Paid,Suburban,33034.83,44,0,Unknown,0.02,No,Other
Default,Urban,29107.42,28,218,Unknown,0.35,No,yahoo.com
Paid,Urban,58420.32,46,0,Male,0.19,No,yahoo.com
Paid,Urban,91122.03,26,0,Female,0.01,Yes,yahoo.com
Paid,Urban,85765.83,55,0,Female,0.03,No,yahoo.com
Paid,Rural,88281.54,37,0,Male,0.02,No,gmail.com
Paid,Suburban,50259.08,56,0,Male,0.06,Yes,gmail.com
Paid,Urban,102317.45,25,0,Male,0.02,No,gmail.com
Paid,Urban,50702.13,24,0,Female,0.02,No,yahoo.com
Paid,Urban,74256.49,33,0,Male,0.07,Yes,msn.com
Paid,Urban,69792.95,20,0,Male,0.26,Yes,gmail.com
Default,Urban,66522.52,29,0,Male,0.15,Yes,yahoo.com
Paid,Urban,96771.84,19,0,Male,0.02,No,yahoo.com
Paid,Urban,55897.79,19,0,Female,0.07,Yes,yandex.com
Default,Suburban,43007.89,37,0,Female,0.26,No,msn.com
Paid,Suburban,70399.91,30,0,Male,0.2,No,outlook.com
Default,Urban,62003.47,18,0,Female,0.04,No,icloud.com
Paid,Urban,137547.66,27,0,Male,0.02,Yes,icloud.com
Paid,Suburban,83530.15,22,0,Female,0.03,No,icloud.com
Paid,Urban,61813.19,50,0,Male,0.07,No,protonmail.com
Default,Rural,48877.77,37,0,Female,0.15,No,yahoo.com
Default,Suburban,32394.23,19,0,Male,0.17,Yes,gmail.com
Paid,Urban,49495.62,33,0,Female,0.01,No,icloud.com
Default,Urban,72298.84,24,0,Female,0.17,No,gmail.com
Paid,Suburban,98546.57,63,0,Male,0.01,No,gmail.com
Paid,Urban,92433.78,28,0,Female,0.02,Yes,icloud.com
Default,Urban,74581.9,35,0,Female,0.26,Yes,gmail.com
Paid,Rural,63536.65,44,0,Female,0.03,No,icloud.com
Paid,Urban,75376.25,44,0,Male,0.02,No,msn.com
Paid,Urban,59627.24,33,0,Female,0.02,No,gmail.com
Default,Suburban,104367.28,28,70,Male,0.02,Yes,gmail.com
Default,Urban,66216.2,60,81,Female,0.02,No,gmail.com
Default,Urban,68273.24,29,0,Male,0.15,Yes,yandex.com
Default,Rural,25683.55,23,0,Female,0.22,No,gmail.com
Paid,Urban,66091.3,20,0,Male,0.06,No,protonmail.com
Paid,Rural,86729.68,29,0,Unknown,0.02,Yes,Other
Paid,Rural,48645.55,42,0,Unknown,0.02,No,gmail.com
Paid,Urban,54985.59,29,0,Unknown,0.02,Yes,yahoo.com
Paid,Urban,85854.22,30,0,Unknown,0.02,No,icloud.com
Default,Urban,40466.86,27,275,Unknown,0.02,Yes,gmail.com
Default,Urban,91156.02,64,63,Unknown,0.01,No,yahoo.com
Paid,Urban,59357.12,28,0,Male,0.14,No,yahoo.com
Paid,Suburban,62228.64,31,0,Female,0.14,No,yahoo.com
Paid,Urban,47522.43,28,0,Male,0.02,No,yahoo.com
Paid,Urban,77560.93,27,0,Female,0.04,No,aol.com
Paid,Suburban,119197.44,22,0,Female,0.02,No,gmail.com
Default,Urban,85629.94,29,75,Unknown,0.02,Yes,Other
Paid,Suburban,52714.29,31,0,Unknown,0.02,No,gmail.com
Paid,Urban,92712.41,35,0,Male,0.01,Yes,Other
Paid,Urban,63666.41,26,0,Female,0.02,No,icloud.com
Paid,Suburban,97489.7,30,0,Female,0.02,No,icloud.com
Paid,Suburban,86133.53,21,0,Female,0.02,Yes,protonmail.com
Default,Rural,15000.0,45,150,Female,0.21,Yes,protonmail.com
Paid,Suburban,49918.41,56,0,Unknown,0.11,Yes,gmail.com
Paid,Suburban,88887.7,25,0,Unknown,0.04,Yes,icloud.com
Paid,Urban,73033.15,51,0,Male,0.13,No,yahoo.com
Paid,Urban,49524.88,25,0,Male,0.03,Yes,yahoo.com
Default,Suburban,57328.21,27,0,Female,0.02,Yes,gmail.com
Paid,Suburban,31875.27,56,0,Female,0.25,No,yahoo.com
Paid,Rural,68232.53,38,0,Female,0.1,No,gmail.com
Default,Urban,114213.79,30,259,Unknown,0.01,Yes,gmail.com
Default,Urban,86098.67,40,132,Male,0.02,Yes,gmail.com
Default,Suburban,113808.34,34,0,Female,0.02,No,yahoo.com
Paid,Urban,87647.94,29,0,Unknown,0.03,No,yandex.com
Paid,Rural,90549.59,26,0,Female,0.01,No,msn.com
Default,Rural,109481.57,26,151,Female,0.01,No,gmail.com
Default,Urban,77545.27,39,0,Male,0.01,Yes,aol.com
Paid,Suburban,66255.45,28,0,Male,0.02,No,aol.com
Default,Suburban,90653.15,44,0,Male,0.02,Yes,hotmail.com
Default,Urban,99076.8,36,286,Female,0.05,No,icloud.com
Default,Rural,60400.71,31,0,Female,0.05,Yes,gmail.com
Default,Urban,55568.62,34,251,Unknown,0.02,No,icloud.com
Paid,Suburban,72777.12,28,0,Male,0.06,No,gmail.com
Paid,Urban,86629.98,22,0,Male,0.01,No,yahoo.com
Paid,Rural,85961.82,35,0,Male,0.02,No,icloud.com
Default,Urban,41516.65,19,0,Female,0.03,Yes,gmail.com
Paid,Urban,108232.12,21,0,Unknown,0.01,No,yahoo.com
Default,Rural,57176.7,46,0,Unknown,0.14,Yes,gmail.com
Paid,Urban,64698.7,32,0,Female,0.2,No,msn.com
Paid,Urban,51946.91,19,0,Male,0.02,Yes,yandex.com
Default,Rural,123966.58,30,0,Male,0.03,No,yahoo.com
Default,Rural,74841.41,51,0,Unknown,0.17,No,yahoo.com
Paid,Urban,52980.5,34,0,Female,0.09,Yes,gmail.com
Default,Suburban,87278.47,39,0,Male,0.02,Yes,outlook.com
Paid,Urban,85382.72,19,0,Female,0.02,Yes,gmail.com
Paid,Urban,66245.46,45,0,Male,0.04,Yes,aol.com
Paid,Urban,86812.13,65,0,Female,0.03,Yes,yandex.com
